"","grupo","ID","Promedio_VOT","DE_VOT","Rango_VOT"
"1","bi","01",26.1973333333333,23.5727792167152,157.55
"2","bi","02",21.9437777777778,8.24700752584313,43.07
"3","bi","03",18.4031111111111,6.64961749488516,28.2
"4","ne","01",12.7144444444444,7.84674934304169,32.97
"5","ne","02",30.588,15.8244772425505,76.85
"6","ne","03",28.692,15.0173241775806,64.13
